time,open,high,low,close,EMA,Volume
2014-04-01,19.775,19.91,19.635,19.688,21.6718649756422,31247
2014-04-02,19.75,20.145,19.73,20.05,21.655727015685564,46390
2014-04-03,19.995,20.08,19.66,19.805,21.637311821499637,32825
2014-04-04,19.835,20.23,19.785,19.946,21.620482848151383,41025
2014-04-07,19.995,20.015,19.775,19.907,21.60343326757276,27771
2014-04-08,19.87,20.175,19.85,20.057,21.58804587187552,47573
2014-04-09,20.04,20.095,19.6,19.77,21.56995586320014,59556
2014-04-10,19.86,20.4,19.86,20.091,21.55523988446183,59959
2014-04-11,20.04,20.13,19.91,19.946,21.539227547303007,38714
2014-04-14,20.035,20.14,19.72,20.01,21.52401135280248,34864
2014-04-15,19.97,19.995,19.22,19.489,21.503762483620363,71451
2014-04-16,19.555,19.805,19.325,19.634,21.485157881793295,40926
2014-04-17,19.635,19.72,19.49,19.596,21.466360290929682,31867
2014-04-21,19.6,19.705,19.23,19.351,21.445311929825905,32088
2014-04-22,19.415,19.53,19.285,19.361,21.424572507638583,47497
2014-04-23,19.405,19.545,19.38,19.438,21.404805617015313,41387
2014-04-24,19.435,19.91,18.93,19.688,21.387722974059937,91746
2014-04-25,19.655,19.81,19.515,19.691,21.370840158397648,57494
2014-04-28,19.73,19.755,19.47,19.588,21.353100455329013,42029
2014-04-29,19.6,19.63,19.335,19.538,21.335039754280963,49382
2014-04-30,19.485,19.51,19.06,19.174,21.31353687115379,50753
2014-05-01,19.19,19.25,18.685,19.043,21.290944464475643,36489
2014-05-02,19.045,19.7,18.905,19.546,21.273581832988324,52011
2014-05-05,19.545,19.745,19.485,19.571,21.256640720222272,27729
2014-05-06,19.625,19.715,19.505,19.645,21.240604494150407,30188
2014-05-07,19.605,19.77,19.295,19.342,21.221712907143935,44059
2014-05-08,19.32,19.39,19.125,19.138,21.20097944538131,33122
2014-05-09,19.19,19.315,19.045,19.121,21.180283132491944,29971
2014-05-12,19.155,19.67,19.045,19.543,21.163991758039288,43186
2014-05-13,19.53,19.62,19.365,19.547,21.14790228781004,27536
2014-05-14,19.55,20.005,19.51,19.775,21.13424156852835,43826
2014-05-15,19.79,19.835,19.43,19.484,21.117821254413638,44615
2014-05-16,19.5,19.53,19.255,19.329,21.10002203795181,32303
2014-05-19,19.37,19.685,19.31,19.353,21.082638734091592,34145
2014-05-20,19.345,19.465,19.225,19.399,21.065886109871776,30274
2014-05-21,19.4,19.5,19.265,19.338,21.048693213256136,29180
2014-05-22,19.4,19.825,19.36,19.52,21.033482335512293,43747
2014-05-23,19.49,19.525,19.295,19.418,21.01740788441267,28736
2014-05-27,19.44,19.5,19.025,19.067,20.998000840786673,56717
2014-05-28,19.07,19.155,18.97,19.059,20.978707300082327,36465
2014-05-29,19.035,19.095,18.78,19.014,20.95915797371335,44897
2014-05-30,19.035,19.085,18.615,18.682,20.936499685417694,43634
2014-06-02,18.795,18.87,18.65,18.739,20.914634016906074,26966
2014-06-03,18.755,18.92,18.71,18.763,20.893224723205517,31806
2014-06-04,18.78,18.88,18.72,18.792,20.872317014516906,23660
2014-06-05,18.8,19.155,18.67,19.083,20.85451286511873,45755
2014-06-06,19.04,19.2,18.88,18.991,20.835970448550384,46762
2014-06-09,19.02,19.19,18.985,19.066,20.818358802296153,34582
2014-06-10,19.055,19.245,18.97,19.168,20.80193732167629,40750
2014-06-11,19.185,19.33,19.145,19.172,20.785719039868567,39950
2014-06-12,19.19,19.565,19.15,19.533,20.773254173800222,62665
2014-06-13,19.525,19.72,19.47,19.655,20.76212726659823,48726
2014-06-16,19.67,19.875,19.57,19.715,20.75170808981616,48422
2014-06-17,19.665,19.775,19.435,19.732,20.74156174066376,40357
2014-06-18,19.74,19.92,19.665,19.778,20.731974061652178,43009
2014-06-19,19.895,20.925,19.83,20.648,20.731138498849667,98306
2014-06-20,20.77,20.99,20.58,20.949,20.733306274980517,81701
2014-06-23,20.865,20.945,20.735,20.916,20.735124122990662,54150
2014-06-24,20.89,21.17,20.81,21.043,20.738187564552945,72126
2014-06-25,20.91,21.165,20.705,21.116,20.741946892268835,72890
2014-06-26,21.015,21.12,20.795,21.108,20.745589211748747,56351
2014-06-27,21.155,21.25,20.945,21.134,20.749453995711445,50421
2014-06-30,21.06,21.17,20.805,21.056,20.75250420470934,48884
2014-07-01,21.07,21.275,21.05,21.117,20.756131028543077,46011
2014-07-02,21.085,21.335,20.96,21.302,20.761562560597376,42623
2014-07-03,21.21,21.23,20.82,21.137,20.76529825651183,41652
2014-07-07,21.2,21.215,20.865,21.014,20.767772900725642,39998
2014-07-08,21.1,21.245,20.955,21.013,20.77021297136519,40314
2014-07-09,21.085,21.285,21.04,21.068,20.773176026376483,36404
2014-07-10,21.12,21.63,21.12,21.508,20.78048770770607,54604
2014-07-11,21.465,21.565,21.42,21.461,20.78725897429606,30117
2014-07-14,21.485,21.53,20.9,20.914,20.788520079029432,53819
2014-07-15,20.975,21.13,20.67,20.889,20.789519879238096,52557
2014-07-16,20.75,20.88,20.63,20.775,20.789375402827766,35306
2014-07-17,20.815,21.3,20.76,21.134,20.79280450329714,49403
2014-07-18,21.205,21.315,20.78,20.886,20.793731821672296,34671
2014-07-21,20.93,21.165,20.86,21.012,20.79590364434222,21749
2014-07-22,20.97,21.12,20.785,21.008,20.798014055841303,35994
2014-07-23,21.025,21.105,20.94,20.995,20.79997411498716,24128
2014-07-24,20.96,20.97,20.35,20.415,20.796143526778334,59354
2014-07-25,20.42,20.81,20.35,20.636,20.79455005885019,40395
2014-07-28,20.715,20.775,20.55,20.567,20.79228587916014,31660
2014-07-29,20.63,20.845,20.505,20.583,20.790203432601334,35802
2014-07-30,20.6,20.76,20.48,20.597,20.788281010386395,31465
2014-07-31,20.645,20.78,20.37,20.412,20.784536920730808,41493
2014-08-01,20.4,20.58,20.245,20.371,20.780422125499655,46452
2014-08-04,20.335,20.48,20.17,20.233,20.774975139176274,32959
2014-08-05,20.18,20.29,19.76,19.833,20.765602252219296,56371
2014-08-06,19.785,20.135,19.77,20.024,20.75822312533154,54380
2014-08-07,20.05,20.13,19.88,19.99,20.75057911413421,42139
2014-08-08,19.995,20.185,19.845,19.941,20.742523600560737,49696
2014-08-11,19.92,20.11,19.845,20.095,20.736080579659635,31057
2014-08-12,20.015,20.155,19.875,19.905,20.727811121155558,43736
2014-08-13,19.925,20.085,19.705,19.845,20.719026930895303,48703
2014-08-14,19.82,19.985,19.785,19.906,20.71093711068739,36087
2014-08-15,19.865,19.955,19.505,19.525,20.69913674142682,56191
2014-08-18,19.58,19.695,19.47,19.635,20.68854831613899,26561
2014-08-19,19.595,19.7,19.365,19.412,20.675846342844075,36665
2014-08-20,19.425,19.585,19.395,19.497,20.66411652848742,41948
2014-08-21,19.465,19.48,19.285,19.415,20.651687508303464,40257
2014-08-22,19.425,19.55,19.285,19.386,20.639093602748204,44065
2014-08-25,19.415,19.47,19.295,19.358,20.62634640272086,27177
2014-08-26,19.325,19.66,19.305,19.386,20.614004647469905,47892
2014-08-27,19.34,19.475,19.285,19.405,20.601974750480153,41245
2014-08-28,19.48,19.95,19.47,19.609,20.59209440470423,58212
2014-08-29,19.54,19.675,19.475,19.492,20.5811481917221,31221
2014-09-02,19.495,19.565,19.11,19.152,20.566927811704964,54206
2014-09-03,19.21,19.28,19.135,19.189,20.55321708721039,28035
2014-09-04,19.215,19.39,19.045,19.138,20.539135325148592,40515
2014-09-05,19.065,19.28,19.02,19.156,20.52537278459985,26620
2014-09-08,19.19,19.345,18.93,18.961,20.50980688624562,29560
2014-09-09,19.055,19.155,18.89,18.92,20.493987912253125,32555
2014-09-10,19.08,19.125,18.9,18.926,20.478386042479464,33966
2014-09-11,18.96,18.985,18.57,18.599,20.459685683847827,59092
2014-09-12,18.685,18.72,18.455,18.606,20.441241050177698,42608
2014-09-15,18.61,18.71,18.555,18.62,20.423119248683392,26314
2014-09-16,18.645,18.885,18.61,18.721,20.406182738746242,40741
2014-09-17,18.695,18.8,18.49,18.734,20.38954410452986,33292
2014-09-18,18.51,18.62,18.27,18.517,20.370911824882796,44856
2014-09-19,18.525,18.595,17.78,17.844,20.34576842364018,66513
2014-09-22,17.855,17.865,17.325,17.774,20.320178688081572,76993
2014-09-23,17.725,17.99,17.61,17.779,20.29489332800116,48466
2014-09-24,17.765,17.87,17.51,17.702,20.269093394389206,51459
2014-09-25,17.675,17.69,17.27,17.438,20.240923310862946,54829
2014-09-26,17.5,17.725,17.44,17.537,20.214018601302122,38520
2014-09-29,17.575,17.635,17.43,17.567,20.187680107756826,27885
2014-09-30,17.46,17.575,16.85,17.057,20.1565290619085,65186
2014-10-01,16.975,17.44,16.865,17.259,20.12769792696414,49855
2014-10-02,17.19,17.35,16.93,17.047,20.09704421624808,40699
2014-10-03,17.06,17.155,16.64,16.826,20.06449651260382,49086
2014-10-06,16.805,17.36,16.66,17.225,20.036242815960996,39327
2014-10-07,17.34,17.625,17.085,17.24,20.008419504359395,43604
2014-10-08,17.195,17.465,17.055,17.064,19.979121797848357,46890
2014-10-09,17.37,17.72,17.325,17.418,19.953637998864792,52087
2014-10-10,17.36,17.42,17.205,17.303,19.927263491413402,32062
2014-10-13,17.36,17.68,17.28,17.345,19.901569327319738,28589
2014-10-14,17.5,17.57,17.325,17.403,19.876707940978246,25578
2014-10-15,17.38,17.82,17.02,17.464,19.852700896789408,66541
2014-10-16,17.45,17.54,17.2,17.437,19.82866407194573,37546
2014-10-17,17.37,17.44,17.22,17.331,19.8038116931204,26078
2014-10-20,17.335,17.52,17.25,17.354,19.77943545736796,23437
2014-10-21,17.42,17.655,17.355,17.549,19.757242069732456,34429
2014-10-22,17.52,17.535,17.115,17.231,19.73210533272019,37618
2014-10-23,17.175,17.25,17.035,17.158,19.706492344334915,30342
2014-10-24,17.2,17.355,17.135,17.182,19.681373017525612,28616
2014-10-27,17.185,17.23,17.08,17.161,19.65629467904277,20799
2014-10-28,17.095,17.4,17.06,17.226,19.632112642435377,31468
2014-10-29,17.2,17.315,17.015,17.264,19.608549332560397,32278
2014-10-30,17.095,17.205,16.33,16.42,19.576822473529944,83428
2014-10-31,16.495,16.515,15.635,16.106,19.542286926529645,82131
2014-11-03,16.11,16.22,15.74,16.201,19.509040290444773,40942
2014-11-04,16.115,16.165,15.905,15.953,19.47365680496771,36422
2014-11-05,16.02,16.045,15.12,15.439,19.433510966112312,83754
2014-11-06,15.34,15.455,15.205,15.413,19.39350588187239,47554
2014-11-07,15.405,15.88,15.04,15.714,19.35689388304779,74108
2014-11-10,15.8,15.88,15.48,15.671,19.320218322022438,49089
2014-11-11,15.595,15.88,15.445,15.678,19.283977343693856,43829
2014-11-12,15.685,15.765,15.545,15.623,19.24754970843322,48949
2014-11-13,15.64,15.79,15.535,15.621,19.211464636707515,37515
2014-11-14,15.63,16.38,15.25,16.314,19.182634142809928,82628
2014-11-17,16.305,16.455,16.015,16.057,19.151533305568037,59511
2014-11-18,16.13,16.4,15.97,16.174,19.121906108497708,46049
2014-11-19,16.165,16.535,15.87,16.294,19.093767739258926,85895
